username,player_id,timestamp,is_closed,is_former
007blond,85068486,1673653634,0,0
0812leonliu,163496945,1656758775,0,0
1337nickb,12694412,1657145248,0,1
180dave,61963236,1672388019,0,0
1960iron,17715836,1423432951,0,0
1v8n,26633668,1463431009,0,0
2heads,16057924,1513200078,0,0
4overnor,60544839,1667358628,0,1
86_beans,190070319,1671779605,0,0
8marki8,136984306,1691771554,0,0
a-marinho,159353297,1653504880,1,0
a_joy,61578950,1664625798,0,1
aaronchristopher96,49139072,1601070054,0,0
aaronleckinger,3155672,1602866005,0,0
aayuchampion,11284314,1599808622,0,1
abduvali83,53141814,1680433820,0,1
abomb511,239454043,1682341977,0,0
acerb95,68263874,1655077445,0,0
adamlevy1982,74919662,1670543932,0,0
adg2525,203609585,1672043296,0,0
aeh690,4609581,1368162767,0,0
aendayana77,45757856,1651671781,0,1
afcwheels22,172934249,1650635094,0,1
ahphoey,30278968,1658063294,1,1
ajv9legend,151177485,1674657442,0,1
aknightslayer,4270721,1384857198,0,0
al2fresco,11026586,1366734456,0,0
albenn,7819606,1689025991,0,1
aldemir68,101029974,1652279863,0,0
aldooooo,7863896,1654809225,0,0
alfil_dadaista,29295688,1652554464,0,0
alialahmad13,205234893,1680443849,0,0
alikingproo,69410410,1680435518,0,1
allenon,19701942,1653837300,0,0
alphabiero,47368904,0,1,1
alsonnik,26184988,1609930665,0,1
amsterdam641,120326780,1673684389,0,0
anarchic,11539682,1483991060,0,1
anatoliy10912,39733750,1690303963,0,0
andares56,42145252,1690886474,0,0
andrevlok2019,66607940,1658247749,0,1
andrew6706,18743650,1420032783,0,0
andriy_yaremovych,16328990,1652637795,0,1
andyd19,137111,1536672922,0,0
andythetee,31405328,1516112522,0,0
angelped03,134505882,1662299580,0,0
angieren007,7482382,1374309937,0,1
angl1an,187148587,1655981647,0,1
anhtvt,148882405,1664683139,0,1
anita76,32981248,0,1,1
anthony008,30995004,1537551875,0,0
antreni,11141902,1381858289,1,1
apclay777,28608460,1665158177,0,1
april280,64669256,1605964449,0,0
